genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000097451	1	Rian	RIAN	AXON CONTRAS
ENSMUSG00000040856	2	Dlk1	DLK1	AXON CONTRAS
ENSMUSG00000029697	3	Fezf1	FEZF1	AXON CONTRAS
ENSMUSG00000086296	4	D030055H07Rik	D030055H07RIK	AXON CONTRAS
ENSMUSG00000021466	5	Ptch1	PTCH1	AXON CONTRAS
ENSMUSG00000048251	6	Bcl11b	BCL11B	AXON CONTRAS
ENSMUSG00000033740	7	St18	ST18	AXON CONTRAS
ENSMUSG00000106775	8	C130093G08Rik	C130093G08RIK	AXON CONTRAS
ENSMUSG00000020258	9	Glyctk	GLYCTK	AXON CONTRAS
ENSMUSG00000021453	10	Gadd45g	GADD45G	AXON CONTRAS
ENSMUSG00000001496	11	Nkx2-1	NKX2-1	AXON CONTRAS
ENSMUSG00000086503	12	Xist	XIST	AXON CONTRAS
ENSMUSG00000020052	13	Ascl1	ASCL1	AXON CONTRAS
ENSMUSG00000029673	14	Auts2	AUTS2	AXON CONTRAS
ENSMUSG00000050334	15	C130071C03Rik	C130071C03RIK	AXON CONTRAS
ENSMUSG00000103427	16	Gm37534	GM37534	AXON CONTRAS
ENSMUSG00000047935	17	Sox1ot	SOX1OT	AXON CONTRAS
ENSMUSG00000041708	18	Mpped1	MPPED1	AXON CONTRAS
ENSMUSG00000097311	19	Gm26871	GM26871	AXON CONTRAS
ENSMUSG00000104901	20	Gm42692	GM42692	AXON CONTRAS
ENSMUSG00000027434	21	Nkx2-2	NKX2-2	AXON CONTRAS
ENSMUSG00000030551	22	Nr2f2	NR2F2	AXON CONTRAS
ENSMUSG00000052187	23	Hbb-y	HBB-Y	AXON CONTRAS
ENSMUSG00000097767	24	Miat	MIAT	AXON CONTRAS
ENSMUSG00000068740	25	Celsr2	CELSR2	AXON CONTRAS
ENSMUSG00000022483	26	Col2a1	COL2A1	AXON CONTRAS
ENSMUSG00000090386	27	Mir99ahg	MIR99AHG	AXON CONTRAS
ENSMUSG00000054252	28	Fgfr3	FGFR3	AXON CONTRAS
ENSMUSG00000097971	29	NA	NA	AXON CONTRAS
ENSMUSG00000098202	30	B830012L14Rik	B830012L14RIK	AXON CONTRAS
ENSMUSG00000047085	31	Lrrc4b	LRRC4B	AXON CONTRAS
ENSMUSG00000091095	32	NA	NA	AXON CONTRAS
ENSMUSG00000018476	33	Kdm6b	KDM6B	AXON CONTRAS
ENSMUSG00000039801	34	Cplane1	CPLANE1	AXON CONTRAS
ENSMUSG00000048154	35	Kmt2d	KMT2D	AXON CONTRAS
ENSMUSG00000080316	36	Spaca6	SPACA6	AXON CONTRAS
ENSMUSG00000002028	37	Kmt2a	KMT2A	AXON CONTRAS
ENSMUSG00000028047	38	Thbs3	THBS3	AXON CONTRAS
ENSMUSG00000085396	39	Firre	FIRRE	AXON CONTRAS
ENSMUSG00000069170	40	Adgrv1	ADGRV1	AXON CONTRAS
ENSMUSG00000027070	41	Lrp2	LRP2	AXON CONTRAS
ENSMUSG00000039477	42	Tnrc18	TNRC18	AXON CONTRAS
ENSMUSG00000107766	43	Gm44073	GM44073	AXON CONTRAS
ENSMUSG00000103784	44	Gm37526	GM37526	AXON CONTRAS
ENSMUSG00000085007	45	Smim43/Gm11549	SMIM43/GM11549	AXON CONTRAS
ENSMUSG00000088207	46	NA	NA	AXON CONTRAS
ENSMUSG00000104581	47	Gm42497	GM42497	AXON CONTRAS
ENSMUSG00000097986	48	Gm26953	GM26953	AXON CONTRAS
ENSMUSG00000031822	49	Gse1	GSE1	AXON CONTRAS
ENSMUSG00000073991	50	Cnbd1	CNBD1	AXON CONTRAS
ENSMUSG00000022974	51	Paxbp1	PAXBP1	AXON CONTRAS
ENSMUSG00000047501	52	Cldn4	CLDN4	AXON CONTRAS
ENSMUSG00000083149	53	Gm11380	GM11380	AXON CONTRAS
ENSMUSG00000071361	54	Mcpt9	MCPT9	AXON CONTRAS
ENSMUSG00000102969	55	Gm33366	GM33366	AXON CONTRAS
ENSMUSG00000075074	56	Olfr1254	OLFR1254	AXON CONTRAS
ENSMUSG00000084788	57	Gm11342	GM11342	AXON CONTRAS
ENSMUSG00000080906	58	Gm12095	GM12095	AXON CONTRAS
ENSMUSG00000088602	59	NA	NA	AXON CONTRAS
ENSMUSG00000089820	60	Gm15775	GM15775	AXON CONTRAS
ENSMUSG00000084875	61	4930570D08Rik	4930570D08RIK	AXON CONTRAS
ENSMUSG00000086557	62	Gm15999	GM15999	AXON CONTRAS
ENSMUSG00000035638	63	Muc20	MUC20	AXON CONTRAS
ENSMUSG00000024774	64	Ankrd22	ANKRD22	AXON CONTRAS
ENSMUSG00000092549	65	Gm20491	GM20491	AXON CONTRAS
ENSMUSG00000097996	66	Gm5313	GM5313	AXON CONTRAS
ENSMUSG00000051257	67	Trap1a	TRAP1A	AXON CONTRAS
ENSMUSG00000084332	68	Gm8840	GM8840	AXON CONTRAS
ENSMUSG00000064591	69	Gm22302	GM22302	AXON CONTRAS
ENSMUSG00000106991	70	Gm43399	GM43399	AXON CONTRAS
ENSMUSG00000047014	71	Catsperb	CATSPERB	AXON CONTRAS
ENSMUSG00000080657	72	Mir669i	MIR669I	AXON CONTRAS
ENSMUSG00000104312	73	Gm37912	GM37912	AXON CONTRAS
ENSMUSG00000104547	74	Gm43022	GM43022	AXON CONTRAS
ENSMUSG00000029068	75	Ccnl2	CCNL2	AXON CONTRAS
ENSMUSG00000064927	76	Gm22043	GM22043	AXON CONTRAS
ENSMUSG00000104625	77	Gm42448	GM42448	AXON CONTRAS
ENSMUSG00000105890	78	Gm42780	GM42780	AXON CONTRAS
ENSMUSG00000107690	79	Gm44044	GM44044	AXON CONTRAS
ENSMUSG00000106826	80	Gm42583	GM42583	AXON CONTRAS
