	genes	ranking	Gene.name.x	genes2	Final.CANDIDATES	X1	GENEBIOTYPE	SYMBOL	GENENAME
1	ENSMUSG00000097451	1	Rian	RIAN	AXON	CONTRAS	processed_transcript	Rian	Rian
2	ENSMUSG00000040856	2	Dlk1	DLK1	AXON	CONTRAS	protein_coding	Dlk1	Dlk1
3	ENSMUSG00000029697	3	Fezf1	FEZF1	AXON	CONTRAS	protein_coding	Fezf1	Fezf1
4	ENSMUSG00000086296	4	D030055H07Rik	D030055H07RIK	AXON	CONTRAS	antisense	D030055H07Rik	D030055H07Rik
5	ENSMUSG00000021466	5	Ptch1	PTCH1	AXON	CONTRAS	protein_coding	Ptch1	Ptch1
6	ENSMUSG00000048251	6	Bcl11b	BCL11B	AXON	CONTRAS	protein_coding	Bcl11b	Bcl11b
7	ENSMUSG00000033740	7	St18	ST18	AXON	CONTRAS	protein_coding	St18	St18
8	ENSMUSG00000106775	8	C130093G08Rik	C130093G08RIK	AXON	CONTRAS	NA	NA	NA
9	ENSMUSG00000020258	9	Glyctk	GLYCTK	AXON	CONTRAS	protein_coding	Glyctk	Glyctk
10	ENSMUSG00000021453	10	Gadd45g	GADD45G	AXON	CONTRAS	protein_coding	Gadd45g	Gadd45g
11	ENSMUSG00000001496	11	Nkx2-1	NKX2-1	AXON	CONTRAS	protein_coding	Nkx2-1	Nkx2-1
12	ENSMUSG00000086503	12	Xist	XIST	AXON	CONTRAS	lincRNA	Xist	Xist
13	ENSMUSG00000020052	13	Ascl1	ASCL1	AXON	CONTRAS	protein_coding	Ascl1	Ascl1
14	ENSMUSG00000029673	14	Auts2	AUTS2	AXON	CONTRAS	protein_coding	Auts2	Auts2
15	ENSMUSG00000050334	15	C130071C03Rik	C130071C03RIK	AXON	CONTRAS	lincRNA	C130071C03Rik	C130071C03Rik
16	ENSMUSG00000103427	16	Gm37534	GM37534	AXON	CONTRAS	TEC	RP23-44N5.4	RP23-44N5.4
17	ENSMUSG00000047935	17	Sox1ot	SOX1OT	AXON	CONTRAS	sense_overlapping	Gm5607	Gm5607
18	ENSMUSG00000041708	18	Mpped1	MPPED1	AXON	CONTRAS	protein_coding	Mpped1	Mpped1
19	ENSMUSG00000097311	19	Gm26871	GM26871	AXON	CONTRAS	lincRNA	Gm26871	Gm26871
20	ENSMUSG00000104901	20	Gm42692	GM42692	AXON	CONTRAS	NA	NA	NA
21	ENSMUSG00000027434	21	Nkx2-2	NKX2-2	AXON	CONTRAS	protein_coding	Nkx2-2	Nkx2-2
22	ENSMUSG00000030551	22	Nr2f2	NR2F2	AXON	CONTRAS	protein_coding	Nr2f2	Nr2f2
23	ENSMUSG00000052187	23	Hbb-y	HBB-Y	AXON	CONTRAS	protein_coding	Hbb-y	Hbb-y
24	ENSMUSG00000097767	24	Miat	MIAT	AXON	CONTRAS	lincRNA	Miat	Miat
25	ENSMUSG00000068740	25	Celsr2	CELSR2	AXON	CONTRAS	protein_coding	Celsr2	Celsr2
26	ENSMUSG00000022483	26	Col2a1	COL2A1	AXON	CONTRAS	protein_coding	Col2a1	Col2a1
27	ENSMUSG00000090386	27	Mir99ahg	MIR99AHG	AXON	CONTRAS	processed_transcript	Mir99ahg	Mir99ahg
28	ENSMUSG00000054252	28	Fgfr3	FGFR3	AXON	CONTRAS	protein_coding	Fgfr3	Fgfr3
29	ENSMUSG00000097971	29	NA	NA	AXON	CONTRAS	processed_transcript	Gm26917	Gm26917
30	ENSMUSG00000098202	30	B830012L14Rik	B830012L14RIK	AXON	CONTRAS	lincRNA	B830012L14Rik	B830012L14Rik
31	ENSMUSG00000047085	31	Lrrc4b	LRRC4B	AXON	CONTRAS	protein_coding	Lrrc4b	Lrrc4b
