ranking	genes	Gene.name.1	Gene2	Gene.type
25	ENSMUSG00000108043	Zim3	ZIM3	lncRNA
34	ENSMUSG00000108282	Gm44317	GM44317	lncRNA
49	ENSMUSG00000074398	Gm15441	GM15441	lncRNA
97	ENSMUSG00000056145	AI504432	AI504432	lncRNA
134	ENSMUSG00000000031	H19	H19	lncRNA
219	ENSMUSG00000092283	Gm20412	GM20412	lncRNA
357	ENSMUSG00000103380	Gm37756	GM37756	lncRNA
375	ENSMUSG00000087431	Gm16054	GM16054	lncRNA
384	ENSMUSG00000086330	1700007J10Rik	1700007J10RIK	lncRNA
407	ENSMUSG00000087211	Lhx1os	LHX1OS	lncRNA
417	ENSMUSG00000086496	Gm14204	GM14204	lncRNA
425	ENSMUSG00000086753	Gm15751	GM15751	lncRNA
940	ENSMUSG00000086968	4933431E20Rik	4933431E20RIK	lncRNA
221	ENSMUSG00000064945	Rny3	RNY3	misc_RNA
28	ENSMUSG00000030757	Zkscan2	ZKSCAN2	NA
38	ENSMUSG00000040928	S100pbp	S100PBP	NA
42	ENSMUSG00000005893	Nr2c2	NR2C2	NA
51	ENSMUSG00000057093	Zfp607b	ZFP607B	NA
56	ENSMUSG00000022311	Csmd3	CSMD3	NA
78	ENSMUSG00000097994	Gm26982	GM26982	NA
89	ENSMUSG00000070695	Cntnap5a	CNTNAP5A	NA
93	ENSMUSG00000071033	Gm10308	GM10308	NA
94	ENSMUSG00000042604	Kcna4	KCNA4	NA
107	ENSMUSG00000021611	Tert	TERT	NA
109	ENSMUSG00000046269	Usp27x	USP27X	NA
111	ENSMUSG00000045083	Lingo2	LINGO2	NA
114	ENSMUSG00000023960	Enpp5	ENPP5	NA
119	ENSMUSG00000034098	Fstl5	FSTL5	NA
125	ENSMUSG00000024350	Dnajc18	DNAJC18	NA
126	ENSMUSG00000021991	Cacna2d3	CACNA2D3	NA
131	ENSMUSG00000047507	Baiap3	BAIAP3	NA
135	ENSMUSG00000038077	Kcna6	KCNA6	NA
148	ENSMUSG00000087115	Pcsk2os2	PCSK2OS2	NA
150	ENSMUSG00000051335	Gfod1	GFOD1	NA
151	ENSMUSG00000096947	NA	NA	NA
153	ENSMUSG00000053702	Nebl	NEBL	NA
156	ENSMUSG00000000308	Ckmt1	CKMT1	NA
158	ENSMUSG00000040037	Negr1	NEGR1	NA
160	ENSMUSG00000022262	Dnah5	DNAH5	NA
162	ENSMUSG00000073557	Ppp1r12b	PPP1R12B	NA
167	ENSMUSG00000038608	Dock10	DOCK10	NA
171	ENSMUSG00000096054	Syne1	SYNE1	NA
175	ENSMUSG00000020657	Dnajc27	DNAJC27	NA
177	ENSMUSG00000010086	Rnf112	RNF112	NA
178	ENSMUSG00000097796	NA	NA	NA
179	ENSMUSG00000029161	Cgref1	CGREF1	NA
180	ENSMUSG00000101168	Gm28892	GM28892	NA
181	ENSMUSG00000028247	Coq3	COQ3	NA
187	ENSMUSG00000054850	Smim10l2a	SMIM10L2A	NA
188	ENSMUSG00000031343	Gabra3	GABRA3	NA
426	ENSMUSG00000050295	Foxc1	FOXC1	NA
427	ENSMUSG00000052305	Hbb-bs	HBB-BS	NA
428	ENSMUSG00000038112	AW551984	AW551984	NA
429	ENSMUSG00000065037	NA	NA	NA
430	ENSMUSG00000008348	Ubc	UBC	NA
431	ENSMUSG00000048814	Lonrf2	LONRF2	NA
432	ENSMUSG00000027797	Dclk1	DCLK1	NA
433	ENSMUSG00000073940	Hbb-bt	HBB-BT	NA
434	ENSMUSG00000066357	Wdr6	WDR6	NA
435	ENSMUSG00000009894	Snap47	SNAP47	NA
436	ENSMUSG00000002524	Puf60	PUF60	NA
437	ENSMUSG00000069917	Hba-a2	HBA-A2	NA
438	ENSMUSG00000097142	NA	NA	NA
439	ENSMUSG00000040389	Wdr47	WDR47	NA
440	ENSMUSG00000040181	Fmo1	FMO1	NA
441	ENSMUSG00000042506	Usp22	USP22	NA
442	ENSMUSG00000034403	Pja1	PJA1	NA
443	ENSMUSG00000005103	Wdr1	WDR1	NA
444	ENSMUSG00000025151	Maged1	MAGED1	NA
445	ENSMUSG00000030020	Prickle2	PRICKLE2	NA
446	ENSMUSG00000004558	Ndrg2	NDRG2	NA
447	ENSMUSG00000024501	Dpysl3	DPYSL3	NA
448	ENSMUSG00000021301	Hecw1	HECW1	NA
449	ENSMUSG00000027419	Pcsk2	PCSK2	NA
450	ENSMUSG00000014602	Kif1a	KIF1A	NA
451	ENSMUSG00000033065	Pfkm	PFKM	NA
452	ENSMUSG00000031012	Cask	CASK	NA
453	ENSMUSG00000031538	Plat	PLAT	NA
454	ENSMUSG00000025266	Gnl3l	GNL3L	NA
455	ENSMUSG00000018340	Anxa6	ANXA6	NA
456	ENSMUSG00000074657	Kif5a	KIF5A	NA
457	ENSMUSG00000020777	Acox1	ACOX1	NA
458	ENSMUSG00000024127	Prepl	PREPL	NA
459	ENSMUSG00000022043	Trim35	TRIM35	NA
460	ENSMUSG00000025888	Casp1	CASP1	NA
461	ENSMUSG00000041268	Dmxl2	DMXL2	NA
462	ENSMUSG00000027750	Postn	POSTN	NA
463	ENSMUSG00000022108	Itm2b	ITM2B	NA
464	ENSMUSG00000032356	Rasgrf1	RASGRF1	NA
465	ENSMUSG00000051675	Trim32	TRIM32	NA
466	ENSMUSG00000069919	Hba-a1	HBA-A1	NA
467	ENSMUSG00000074354	Arhgap20os	ARHGAP20OS	NA
468	ENSMUSG00000031517	Gpm6a	GPM6A	NA
469	ENSMUSG00000015709	Arnt2	ARNT2	NA
470	ENSMUSG00000034187	Nsf	NSF	NA
471	ENSMUSG00000027692	Tnik	TNIK	NA
472	ENSMUSG00000039485	Tspyl4	TSPYL4	NA
473	ENSMUSG00000020181	Nav3	NAV3	NA
474	ENSMUSG00000022661	Cd200	CD200	NA
475	ENSMUSG00000047866	Lonp2	LONP2	NA
476	ENSMUSG00000001924	Uba1	UBA1	NA
477	ENSMUSG00000022805	Cfap91	CFAP91	NA
478	ENSMUSG00000065911	NA	NA	NA
479	ENSMUSG00000068699	Flnc	FLNC	NA
480	ENSMUSG00000096775	Gm5796	GM5796	NA
481	ENSMUSG00000029231	Pdgfra	PDGFRA	NA
482	ENSMUSG00000028024	Enpep	ENPEP	NA
483	ENSMUSG00000040997	Abhd4	ABHD4	NA
484	ENSMUSG00000002012	Pnck	PNCK	NA
485	ENSMUSG00000029922	Mkrn1	MKRN1	NA
486	ENSMUSG00000034636	Zyg11b	ZYG11B	NA
487	ENSMUSG00000074892	B3galt5	B3GALT5	NA
488	ENSMUSG00000031786	Drc7	DRC7	NA
489	ENSMUSG00000003316	Glg1	GLG1	NA
490	ENSMUSG00000084898	Gm12371	GM12371	NA
491	ENSMUSG00000094002	Gm9866	GM9866	NA
492	ENSMUSG00000096972	NA	NA	NA
493	ENSMUSG00000019039	Dalrd3	DALRD3	NA
494	ENSMUSG00000074671	Tspyl3	TSPYL3	NA
495	ENSMUSG00000019055	Plod1	PLOD1	NA
496	ENSMUSG00000031453	Rasa3	RASA3	NA
497	ENSMUSG00000032594	Ip6k1	IP6K1	NA
498	ENSMUSG00000041773	Enc1	ENC1	NA
499	ENSMUSG00000008999	Bmp7	BMP7	NA
500	ENSMUSG00000025969	Nrp2	NRP2	NA
501	ENSMUSG00000031227	Magee1	MAGEE1	NA
502	ENSMUSG00000025270	Alas2	ALAS2	NA
503	ENSMUSG00000036667	Tcaf1	TCAF1	NA
504	ENSMUSG00000031170	Slc38a5	SLC38A5	NA
505	ENSMUSG00000029426	Scarb2	SCARB2	NA
506	ENSMUSG00000021913	Ogdhl	OGDHL	NA
507	ENSMUSG00000040560	Wdr7	WDR7	NA
508	ENSMUSG00000079037	Prnp	PRNP	NA
509	ENSMUSG00000024640	Psat1	PSAT1	NA
510	ENSMUSG00000046598	Bdh1	BDH1	NA
511	ENSMUSG00000031700	Gpt2	GPT2	NA
512	ENSMUSG00000062444	Ap3b2	AP3B2	NA
513	ENSMUSG00000054027	Nt5dc3	NT5DC3	NA
514	ENSMUSG00000034151	Zbbx	ZBBX	NA
515	ENSMUSG00000049354	Dcaf7	DCAF7	NA
516	ENSMUSG00000028430	Nol6	NOL6	NA
517	ENSMUSG00000048612	Myof	MYOF	NA
518	ENSMUSG00000028373	Astn2	ASTN2	NA
519	ENSMUSG00000032372	Plscr2	PLSCR2	NA
520	ENSMUSG00000031342	Gpm6b	GPM6B	NA
521	ENSMUSG00000067279	Ppp1r3c	PPP1R3C	NA
522	ENSMUSG00000020257	Wdr82	WDR82	NA
