GENEID	E13_5_CH_1_30208_ATTACT_sort.bam	E13_5_CH_2_30209_TCCGGA_sort.bam	E13_5_CH_4_30210_CGCTCA_sort.bam	E13_5_retina_1_30211_GAGATT_sort.bam	E13_5_retina_2_30212_ATTCAG_sort.bam	E13_5_retina_3_30213_GAATTC_sort.bam	E15_5_CH_1_30214_CTGAAG_sort.bam	E15_5_CH_2_30215_TAATGC_sort.bam	E15_5_CH_4_30216_CGGCTA_sort.bam	E15_5_retina_1_30217_TCCGCG_sort.bam	E15_5_retina_2_30218_TCTCGC_sort.bam	E15_5_retina_3_30219_AGCGAT_sort.bam
4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0	0	0	0	0	0	0
Gm37363	0	0	0	0	0	0	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	17.5678128997007	0	0	0
Gm19938	0	0	0	0	0	0	0	0	0	0	0	0
Gm10568	0	0	0	0	0	0	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0	0	63.9740877307884	0	0	0	0
Gm71132	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	0	0	0	0	0	0	0	0	0	0	0	0
Gm70642	0	0	0	0	0	0	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0	0	0	0	0	0	0
Gm70753	0	0	61.1185152796899	0	0	0	0	0	0	0	0	0
Gm70932	0	0	0	0	0	0	0	0	0	0	0	0
Gm37587	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000131850	675.819279399537	736.663001993741	511.914900129175	751.119379355453	971.374033684219	669.407204372697	475.149594295977	223.647702981537	483.572009724289	745.121155585698	663.291193958446	622.202431687046
Gm70763	0	0	0	0	0	0	0	0	0	0	0	0
